replica_number;seed;S;M;specialization;Spebefore;Speafter;nestedness;t_max;K;Resources.given;dilution;l_sum;nb_coexisting_species;coexisting_species;final_abundances
0;3519851772;200;80;0.85;0.750526095;0.756552355;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;8085.818528;39;[11, 16, 27, 28, 38, 42, 44, 50, 51, 59, 67, 71, 72, 84, 87, 90, 95, 101, 104, 106, 109, 110, 127, 132, 146, 151, 160, 167, 169, 174, 175, 179, 181, 182, 188, 190, 195, 196, 198];[1.522331785058535, 5.010382159299295, 3.3811010057823268, 4.680521996989801, 4.339414287318163, 3.5070813455230625, 2.5296465774804324, 2.0262905701835665, 0.9166271911877635, 1.4151137958285898, 7.011177218559221, 4.465291199944418, 1.2594850917210416, 6.6698952651218155, 1.0471280787429567, 4.773306460755274, 2.1738574399557713, 3.4921067715142633, 2.479005479789555, 3.555367564471984, 0.04699659054824335, 2.332260897023661, 1.3127745126005093, 0.810016385246563, 3.8380765300342836, 4.910646197508269, 8.87127202418142, 6.626962574588955, 5.4617328610256966, 0.0002535298485658178, 7.0289692824718575, 11.132338444980304, 9.199641342330308, 5.420771252978452, 6.353055202707655, 4.912412296513299, 2.9521629677981838, 0.8192463078684186, 4.4357366309646045]
1;2512707090;200;80;0.85;0.767733622;0.776638358;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;8035.142071;42;[1, 6, 7, 16, 17, 19, 20, 24, 25, 36, 44, 48, 50, 51, 54, 63, 73, 78, 81, 89, 90, 92, 94, 96, 100, 101, 102, 104, 115, 126, 128, 132, 139, 144, 145, 153, 155, 169, 175, 177, 193, 196];[0.4827665098228415, 6.353182054088193, 4.281187741074386, 7.790042308393854, 7.114768293242953, 3.249521069089573, 0.7743592684576436, 0.384943099093096, 3.8573815747198457, 3.4728597334418665, 4.7883165459196695, 2.6945398938771223, 0.8303108011165269, 4.354723129984217, 9.015541084441317, 4.3480447501629085, 2.1057553389444057, 1.9536220092458239, 4.624124113118083, 1.4029100398164451, 3.1618849131141937, 1.425622771806448, 0.9925777212199564, 2.375495604079574, 6.188133649250705, 0.006728665330452933, 5.174197256282587, 0.12290206671317686, 0.07133819789760117, 6.580449656570259, 5.805205949125067, 1.4867933199774859, 0.49183201855485426, 4.5346816340833715, 5.177490547521357, 4.871019732851115, 7.039623252106865, 2.0847283698898154, 1.676806759328576, 3.1456778139413504, 6.484404498713175, 7.7479427877867835]
2;1045461056;200;80;0.85;0.751612008;0.784469745;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;8016.755568;40;[0, 11, 14, 15, 18, 29, 31, 36, 44, 47, 53, 55, 56, 58, 60, 66, 67, 70, 73, 75, 85, 88, 94, 98, 99, 100, 109, 113, 115, 123, 129, 133, 158, 161, 179, 180, 186, 188, 196, 199];[2.497975754114424, 8.598814392805716, 1.6158799680169054, 3.0298013520519507, 1.1307704508382257, 5.5460304584607165, 8.798074311489765, 4.6974709414396, 13.791949031031717, 2.0245358645723903, 1.9024583656342644, 1.21719958355196, 2.677370258132876, 2.796556892631666, 1.3343014387295469, 11.117132061976168, 9.049564776869508, 1.6172649153789198, 1.4333806409954948, 5.909996886474309, 3.1990201249176593, 2.0019348517936413, 1.9149770514782896, 9.392234142545517, 7.46853117204221, 6.882380085526387, 2.6616310163622203, 0.3624584102183782, 4.498970762605844, 5.758904136113161, 3.3164164248482586, 4.9413596225820955, 1.475142596402991, 0.659864127033286, 4.903999702480896, 10.367536002935969, 4.1451288006534135, 3.016239233365312, 3.654547337844854, 0.1561363664117184]
3;2397601613;200;80;0.85;0.745516285;0.737492476;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;7995.26117;34;[12, 21, 23, 26, 27, 34, 35, 44, 45, 60, 63, 75, 78, 92, 97, 100, 102, 105, 109, 112, 118, 123, 125, 130, 136, 146, 148, 162, 165, 177, 180, 187, 189, 196];[1.5478769193702149, 11.095552865448314, 6.62459577550639, 1.0288782834384136, 5.208291517517889, 1.4109038643822231, 7.752865998230569, 6.936239404351903, 6.9467572317631925, 1.103493468957802, 5.729545266161945, 2.2194727750216856, 0.21334971363925354, 2.39862826630082, 7.25945875316376, 11.393342198030897, 1.3715444636202827, 2.8227437971760487, 0.9587472769824295, 10.088553788935183, 4.911038205658235, 1.4098466860167291, 1.3983475185551268, 0.09600851956255636, 4.123018372554086, 0.3366894817036044, 1.3268494091066723, 3.025309635368948, 0.563231001618263, 7.147014790644156, 6.487499852745199, 7.6305509746695455, 7.7901548620186025, 4.048499973582626]
4;3721225315;200;80;0.85;0.76293772;0.786279155;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;7968.004007;49;[0, 3, 8, 9, 13, 17, 20, 21, 22, 23, 25, 26, 31, 38, 40, 41, 45, 49, 50, 61, 63, 66, 69, 71, 76, 77, 79, 81, 82, 87, 91, 101, 113, 115, 116, 118, 119, 127, 132, 138, 140, 141, 152, 155, 156, 164, 167, 187, 194];[1.4373250121314578, 9.71185801752219, 0.8649565746911411, 2.046282252410528, 0.324580543392972, 1.2028380286271536, 0.9938996121891142, 1.2338177751303263, 0.5647544905016698, 0.389599072531387, 2.3553494059988056, 0.42358596373160556, 0.2232217507371643, 3.520498199604711, 1.470311061573922, 2.513830159389126, 0.6292740682120437, 4.353334868476141, 2.6710991677271716, 5.009938566330637, 0.551620541607878, 10.473407239254843, 3.1828370533035737, 3.9452980766366013, 6.579636701796992, 1.1749915469836507, 0.4495273319192575, 1.6933355968409587, 4.366767286236735, 3.7469786656669126, 2.482032034404736, 2.6954359068427807, 2.1465665673823477, 0.8838183588939568, 0.8131176790937915, 4.120298315999861, 2.259745840548257, 5.997186397092629, 3.446600805161247, 1.6359586497397018, 3.048387390889444, 2.2176924728166916, 2.3653754574316124, 4.461258117244138, 3.8474758758556913, 4.490157259449199, 8.88584379171545, 3.7811666020541375, 2.5231877946364163]
5;2706699318;200;80;0.85;0.770281044;0.793344821;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;7987.774616;47;[0, 2, 3, 7, 8, 18, 19, 21, 36, 38, 45, 55, 59, 64, 66, 68, 71, 81, 84, 88, 100, 105, 112, 116, 120, 125, 127, 129, 136, 137, 138, 139, 148, 150, 161, 162, 163, 166, 167, 169, 170, 171, 172, 178, 179, 184, 196];[6.3468661604967584, 2.0514542536239055, 2.950393484191477, 8.230048577392244, 1.5973443062450965, 0.1370074207677625, 5.831126877568233, 0.9299246167072891, 5.004286239639287, 3.3780427991274045, 0.01951507672239575, 3.040016335176911, 0.5821111278800887, 2.120723176128711, 3.8075365936909344, 7.7916117717755675, 3.1863612230223635, 7.999083083903131, 0.15887126174594776, 1.538549077382044, 7.4176753402415105, 2.01564516452579, 1.3361306021884087, 4.2745176849581, 1.785171164919008, 0.04137796425342072, 4.654392895256821, 3.56096751517597, 9.33879348909605, 1.0812442228224144, 3.0343686092438653, 2.977562663859147, 0.3465582322074309, 8.440577218939145, 0.5449022714248279, 0.5407783011732217, 1.565333498775721, 2.3944870552084763, 4.018452217542465, 2.818050885616795, 6.231284615802704, 0.5360994529001815, 3.5751964601712323, 1.8826457758262993, 0.8416034142137446, 1.7943287670680332, 4.976198794996557]
6;3663787246;200;80;0.85;0.752626258;0.776822109;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;7981.440872;39;[2, 4, 11, 22, 23, 33, 34, 35, 40, 43, 68, 71, 73, 76, 85, 90, 96, 97, 100, 109, 111, 112, 124, 126, 128, 129, 130, 132, 135, 140, 141, 142, 148, 150, 151, 152, 156, 188, 199];[1.4127276056526499, 5.570802400517981, 2.485419972937487, 2.4046325862014517, 7.42412761867748, 5.78947330459459, 5.9155487567158325, 4.537415005100713, 3.6760647037831773, 1.7451625044409032, 0.7583827962233786, 0.361582353120508, 0.4738968093061734, 4.868844145639199, 0.06740371690236201, 6.203620617965653, 5.089062714322823, 6.26945906263188, 8.54122552064082, 1.253319101628787, 1.1183720518531508, 1.1011274909688025, 12.275015031720592, 1.1375321516879544, 10.022960105768954, 2.8680645540752416, 1.2660057221474392, 3.661921868183582, 1.0103621288040405, 6.651987958734552, 4.349445412521031, 2.1307109807792246, 1.7458476442339579, 3.939678863212733, 0.9929106004485099, 1.2635454441035419, 2.424669734627808, 7.757598583166839, 1.5516790573922232]
7;3497251549;200;80;0.85;0.763767106;0.784198283;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;7972.536269;41;[1, 5, 7, 17, 25, 26, 30, 32, 47, 50, 51, 58, 66, 71, 72, 74, 88, 91, 101, 106, 108, 117, 121, 125, 126, 131, 144, 145, 151, 156, 157, 159, 160, 163, 169, 171, 177, 180, 189, 192, 194];[3.2571841197589966, 1.5684263245716796, 4.873073113846092, 8.977140185870738, 2.506947354218953, 2.247462795837647, 0.9265762802557753, 0.909133886506424, 3.0230873655793546, 8.983877038985288, 6.505551883550895, 5.777504852408631, 5.08189961758395, 1.7042261294711192, 1.3590569908625278, 3.632120989618169, 0.738517453200023, 2.79691489408995, 1.72099309259343, 6.501137974286672, 2.8299223133570206, 0.5934883419950132, 9.916170891899288, 3.8832967495900355, 1.7330534307481382, 0.05852131222183152, 7.70582254608802, 2.017685949847402, 3.440371959772324, 1.912358860982945, 4.462730178675204, 1.8845505334192727, 5.853113856604591, 1.805017413885237, 4.913288575549893, 4.175886342673958, 1.0406508851537335, 1.6550657377426248, 2.1087549721077647, 3.1339107313385415, 2.6565958184908087]
8;4100130870;200;80;0.85;0.759988283;0.756111191;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;8052.970971;43;[0, 10, 12, 24, 27, 30, 31, 35, 38, 44, 56, 57, 63, 65, 71, 92, 93, 95, 102, 105, 106, 109, 110, 112, 115, 117, 125, 126, 127, 138, 141, 146, 156, 157, 158, 166, 183, 185, 188, 189, 190, 194, 197];[4.254240585813663, 5.931387819181756, 0.15161560053935627, 10.549840687453148, 6.939688656797194, 0.958612389843956, 13.14665160234952, 8.158286059585592, 0.4215877442166843, 6.73426157856624, 1.8782932316307137, 3.1688679283198598, 5.585617312520161, 7.147922404761221, 1.8525401797025358, 2.7599349503518016, 0.932632527808174, 4.502315103034532, 0.8402347092679585, 0.7338316280286465, 1.2511491928327678, 2.363645575035532, 1.3892835599223703, 2.213073611292951, 1.5363637164704578, 7.570817227537919, 2.0010815744870625, 0.7912591236867064, 5.447204499735985, 1.4343723133021864, 3.3539387247018886, 5.6482563824550125, 2.2021951576200878, 5.606446366202243, 2.2864970359124515, 2.4381210578201853, 2.6008806188974605, 1.2172447145441465, 7.514327496792918, 3.9428136052969434, 0.6459176446590809, 0.08314013828525103, 0.29971469687305907]
9;2735776896;200;80;0.85;0.753362706;0.758139671;-1;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;7981.995928;43;[0, 5, 12, 17, 30, 32, 35, 44, 46, 51, 52, 61, 66, 68, 72, 76, 85, 95, 96, 97, 98, 102, 105, 109, 111, 112, 120, 123, 126, 134, 135, 139, 140, 149, 158, 159, 169, 171, 174, 179, 184, 185, 187];[0.8996568484957144, 0.052199853215351824, 4.326532770756777, 3.53656512509139, 5.568085398322697, 0.20823794799816858, 2.5845110721511126, 1.6923383952436633, 1.1420129742924658, 5.63232441042345, 11.321673763405895, 1.5175789865647487, 1.233040698253193, 7.406828730868487, 1.5310768085962039, 0.3634804562094724, 6.9098299961056915, 4.769820574513622, 4.519831641855139, 0.8145703365808602, 2.4089082322292446, 2.3713887769208686, 2.763148170863332, 0.24472562365133171, 3.0917034708800566, 2.1399088404736983, 6.249082471299478, 0.22398406341715066, 0.36483465493797157, 1.3964663054136337, 2.419211926582236, 0.3644618118073116, 4.085529650866801, 1.8370895950521309, 2.49213612365172, 4.093574039525468, 2.965857364113578, 2.641374187229285, 3.757145435962316, 6.478961377265282, 12.782878912613054, 1.263615683283267, 0.6766078573348416]
0;591255138;200;80;0.85;0.757842217;0.768925333;0;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;8041.865627;56;[1, 2, 3, 4, 10, 14, 19, 24, 29, 39, 47, 48, 50, 51, 58, 63, 64, 67, 75, 78, 79, 82, 83, 88, 98, 100, 107, 110, 112, 114, 118, 120, 123, 130, 134, 138, 142, 143, 144, 146, 152, 154, 160, 164, 165, 166, 167, 168, 170, 172, 175, 177, 178, 192, 196, 199];[5.606890583187306, 4.4731655028479915, 8.88024678322436, 12.24844053307647, 0.9987850748093686, 8.847608809520406, 0.2138496654047794, 0.857736786677135, 6.369522107919772, 6.7523009591185765, 14.241708472940815, 4.956238499801256, 0.5516514132933169, 3.8692223469261533, 9.584366791155663, 4.980908617451232, 1.3625605903972764, 7.962581492558931, 1.6333529714187645e-05, 1.3732266042470926, 0.3285389175397192, 3.969776507267761, 0.12643053227147327, 2.12051872175045, 9.625461037060521, 10.422863209033489, 3.5159485297913697, 8.256812022458606, 0.9641844576025025, 1.3171108062616756, 2.7866060161067336, 6.592788857963723, 6.277863978309641, 1.396965760287903, 9.186729886842478, 1.797033437617407e-05, 0.9984030745103946, 5.850428403278805, 0.6769289138922289, 0.9136376449857072, 3.6005808907810275, 3.620744486507038, 0.26407824189571344, 14.40510232536681, 8.506858358835133, 2.0834695325820216, 6.624066342526433, 1.3082069080300722, 2.929795744411916, 3.556783967932297, 6.536833494491206, 8.41797436758991, 8.29417196082459, 9.36594775331791, 6.4042008184082135, 13.906641036318222]
1;2148175971;200;80;0.85;0.751950614;0.777317843;0;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;8050.724844;53;[4, 6, 8, 11, 18, 19, 21, 24, 27, 29, 37, 43, 46, 50, 56, 57, 60, 69, 72, 74, 75, 77, 85, 89, 91, 95, 98, 101, 113, 115, 118, 121, 128, 136, 139, 140, 143, 145, 146, 149, 151, 152, 162, 164, 166, 172, 174, 175, 180, 184, 189, 190, 195];[6.313076565053262, 0.22923210690594484, 4.833037203857679, 3.222553200363264, 1.1993406511971345, 4.729523444900887, 0.5439625590050321, 9.026418364668496, 0.10204696197291621, 7.040685073665301, 13.190613445706344, 6.113299787321321, 1.6719136650673898, 4.109615084477426, 11.420089856108827, 6.436429212344557, 9.95156452222129, 16.230671485867834, 1.861103181413587, 6.835351120608569, 1.7044717692462215, 13.389731178831328, 2.669712370642924, 2.964267256684106, 1.0063989061997929, 2.225068229241747, 1.485983446989477, 3.9123949969531564, 6.485699456113509, 1.8007163859231625, 0.1882853028373004, 4.870912945692366, 3.662454491212102, 0.2654200067653998, 0.00021650028258907888, 4.0966835341468855, 4.762254527118564, 6.660343526354215, 1.3742091939656376, 5.787732343783485, 1.5582412009212305, 3.0330731837946754, 5.299937593155127, 2.832771199854407, 1.905978683982788, 8.008022320605399, 10.078517801615845, 5.253281098262327, 2.4057562981120566, 0.28715306691517267, 5.760658421029141, 3.511621848125558, 1.4523790806475247]
2;4006022271;200;80;0.85;0.743248159;0.756017659;0;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;7929.947815;57;[0, 1, 3, 9, 13, 16, 17, 19, 28, 37, 39, 40, 41, 42, 54, 59, 64, 65, 67, 70, 78, 89, 91, 92, 100, 108, 109, 114, 115, 116, 119, 125, 127, 138, 139, 144, 145, 147, 150, 151, 156, 157, 158, 159, 164, 167, 169, 171, 172, 174, 181, 183, 184, 186, 195, 196, 199];[1.3154408521190588, 2.4736497899027126, 1.6664958384827864, 4.393430239041455, 0.6169641583927038, 0.1740178141902607, 1.7966356839351976, 3.3941741876724816, 12.526826603378392, 1.0428782416707174, 5.408026012939235, 1.1902248775972286, 4.579345155194987, 9.147086276270972, 8.020366726030742, 4.838046725176279, 12.276584751035514, 12.090890142169071, 1.4779744400007795, 5.450324707797972, 0.22679824083992167, 0.28345719594145424, 1.2352545645738977, 5.161374274693717, 6.833884980730107, 3.2591957508392304, 3.7241607366643708, 2.5769938076738668, 6.373717524170499, 0.7691940643495092, 3.5763112977957356, 4.142125839317796, 3.361792841147683, 8.616375897756972, 6.752164554514831e-05, 1.9074127893594501, 0.22246141665317792, 1.8934771696594015, 9.675518359157744, 8.932188745875997, 3.194489101191419, 2.604188704276226, 5.7545507712977795, 3.911444098924413, 4.057152324418539, 6.201639550572999, 8.388394097797137, 0.9717096669898724, 8.370340577421034, 8.918086353199145, 3.7378883442271422, 0.0010678716664825685, 11.687835078526696, 15.752724733550288, 4.170706762324092, 3.6876817625949134, 1.4301521545929308]
3;2105061081;200;80;0.85;0.76148633;0.758716149;0;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;8017.748559;54;[5, 7, 19, 21, 23, 35, 36, 37, 41, 44, 45, 46, 53, 64, 65, 70, 71, 76, 77, 82, 84, 86, 87, 90, 92, 97, 98, 99, 103, 118, 123, 124, 130, 136, 139, 145, 148, 150, 152, 153, 154, 155, 161, 166, 167, 172, 173, 176, 177, 180, 189, 193, 197, 199];[1.9897454699065664, 2.258036171795107, 0.5853769284234804, 9.620305631576663, 4.892045087452413, 2.655141021583304, 0.9463070288081109, 9.564373467846787, 10.09199326416398, 5.889315357897636, 4.279907666147653, 6.692082752444546, 5.294020234930571, 5.88031703885248, 0.7678952559033456, 2.3647147895337244, 0.07081282276775847, 7.10942412579942, 14.48226777106616, 2.275217497895808, 0.44597818487846347, 5.313652818113767, 3.1149311852165327, 10.80597712395491, 0.1829883759533832, 2.602586576217541, 3.0709961549121854, 0.690104341160025, 1.5276519155792263, 15.024544202451562, 8.489640678776246, 4.15251011438152, 1.1361594244018054, 4.453816289677157, 12.081127377426043, 12.881111177189576, 3.215597600042849, 0.6613020347251019, 6.344743728094009, 2.11082467178181, 0.9560399052814762, 3.987284943785971, 4.547225906507031, 2.553894474841839, 7.37665978834542, 0.6283960949076098, 3.486100273009145, 5.650277585941072, 0.10726367530218218, 2.314120581005873, 4.157877882915136, 7.812117191272256, 0.21850701481340695, 4.058433196322683]
4;4094698901;200;80;0.85;0.762088187;0.764348846;0;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;7971.118695;56;[1, 4, 10, 12, 16, 25, 36, 49, 50, 53, 56, 57, 59, 62, 63, 65, 68, 72, 74, 77, 79, 80, 87, 88, 89, 90, 94, 95, 97, 107, 110, 112, 119, 121, 129, 131, 132, 133, 136, 149, 150, 153, 157, 163, 168, 173, 174, 175, 179, 180, 183, 187, 188, 189, 192, 199];[2.010198321295307, 1.0389624629824996, 3.41989074606077, 6.224685250056974, 6.9724062486228755, 0.9632470820925672, 6.738316075387156, 5.163658247343171, 5.5411239660114875, 11.413217310736616, 3.991521283316192, 0.33051653184710683, 6.13162392551439, 2.456485505056266, 8.921977203728506, 0.7490576298817411, 9.522921325825102, 7.144655821636214, 0.2069790870396109, 0.8924298306475017, 1.810680852726955, 1.4399263187542424, 6.952031334336428, 4.558330443837389, 2.775384945533463, 2.9930803612125785, 8.421053720758854, 0.5919914945143663, 2.9076048756147275, 5.226098337324076, 3.966276077136894, 0.046775200124522395, 2.7664064999958105, 16.276819443319933, 1.1399903206409143, 4.678779723633386, 5.1349420217391835, 4.68445214899459, 1.2357011927735706, 2.675399299687822, 10.675759675634504, 2.4467478445337316, 0.043423945857381595, 3.5057683732954708, 3.695528952374908, 0.9965385074473665, 3.521587810793966, 5.964722526304966, 2.348509180699326, 0.1626367597872597, 12.882000321312677, 3.7147121011823985, 3.685435986551228, 6.425095993711961, 1.012006275405901, 13.059509490184308]
5;1856713892;200;80;0.85;0.738704549;0.740010561;0;2500;[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];64;1;8040.136349;51;[7, 8, 9, 10, 11, 13, 15, 20, 24, 30, 32, 36, 43, 46, 48, 57, 80, 85, 86, 88, 91, 96, 97, 102, 104, 106, 110, 114, 115, 122, 123, 126, 131, 141, 145, 147, 148, 150, 152, 157, 166, 174, 177, 180, 181, 184, 186, 190, 191, 193, 194];[0.7484623751824063, 3.776856738628756, 0.6966492772241145, 3.801274782563201, 1.9014249275369863, 15.632117439082606, 2.41264683475577, 5.599860081843068, 2.511534762189436, 0.004123766176788007, 2.587415788043778, 6.950472557429458, 2.5584618205394873, 9.790258585778929, 4.374782545508155, 0.20000927650224523, 0.38986574660246365, 0.44478543600765186, 4.991179673061614, 3.0377718179502655, 1.5096829123339628, 14.208317662359699, 6.369150177651216, 3.3028651747239124, 3.3874094834475965, 7.5746241339079425, 8.989407448016788, 11.999377229651202, 5.513641978742481, 3.9630530387696767, 4.515250169593289, 14.450905536238123, 6.970828386335288, 5.874008956877743, 6.7810268156999145, 3.11425423928119, 7.494431556922054, 6.155925885225833, 1.0146437270189463, 9.515936635814612, 1.8011097214056824, 0.17204783465080786, 6.499543735986842, 1.4937598199239016e-05, 8.299856304171442, 4.325113760395947, 3.660735453867487, 1.8188372724915811, 3.6893248438364212, 4.622055626113455, 11.026424839963648]
